Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684521297181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1684521297187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1684521297218,5483.0,15.400001,19.4,23.7,0.979,84.4,212.2,0.0,0.0,0.0,-17.175
3,1684521297249,5483.0,15.400001,19.4,23.7,0.979,84.4,212.2,0.0,0.0,0.0,-17.175
4,1684521297281,5483.0,15.400001,19.4,23.7,0.979,84.4,212.2,0.0,0.0,0.0,-17.175
5,1684521297296,5438.0,15.0,19.2,23.300001,0.977,84.4,212.2,0.0,0.0,0.0,-17.175
6,1684521297327,5433.0,15.1,19.300001,23.4,0.962,84.4,212.2,0.0,0.0,0.0,-17.175
7,1684521297359,5433.0,15.1,19.300001,23.4,0.962,84.4,212.2,0.0,0.0,0.0,-17.175
8,1684521297390,5450.0,15.0,19.4,24.2,0.958,84.4,212.2,0.0,0.0,0.0,-17.175
9,1684521297422,5450.0,15.0,19.4,24.2,0.96,84.4,212.2,0.0,0.0,0.0,-17.175
10,1684521297453,5450.0,15.0,19.4,24.2,0.96,84.4,212.2,0.0,0.0,0.0,-17.175
11,1684521297484,5433.0,15.0,19.300001,23.6,0.964,84.4,212.2,0.0,0.0,0.0,-17.175
12,1684521297510,5415.0,15.1,19.300001,23.5,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
13,1684521297531,5415.0,15.1,19.300001,23.5,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
14,1684521297563,5415.0,15.1,19.300001,23.5,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
15,1684521297594,5415.0,15.1,19.300001,23.5,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
16,1684521297626,5415.0,15.1,19.300001,23.5,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
17,1684521297657,5454.0,15.400001,19.300001,23.5,0.964,84.4,212.2,0.0,0.0,0.0,-17.175
18,1684521297688,5454.0,15.400001,19.300001,23.5,0.964,84.4,212.2,0.0,0.0,0.0,-17.175
19,1684521297704,5454.0,15.400001,19.300001,23.5,0.985,84.4,212.2,0.0,0.0,0.0,-17.175
20,1684521297735,5454.0,15.400001,19.300001,23.5,0.985,84.4,212.2,0.0,0.0,0.0,-17.175
21,1684521297767,5454.0,15.400001,19.300001,23.5,0.985,84.4,212.2,0.0,0.0,0.0,-17.175
22,1684521297799,5445.0,15.1,19.2,23.0,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
23,1684521297830,5445.0,15.1,19.2,23.0,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
24,1684521297861,5445.0,15.1,19.2,23.0,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
25,1684521297879,5445.0,15.1,19.2,23.0,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
26,1684521297910,5445.0,15.1,19.2,23.0,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
27,1684521297942,5445.0,15.1,19.2,23.0,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
28,1684521297973,5447.0,15.2,19.300001,23.6,0.97,84.4,212.2,0.0,0.0,0.0,-17.175
29,1684521298004,5447.0,15.2,19.300001,23.6,0.97,84.4,212.2,0.0,0.0,0.0,-17.175
30,1684521298036,5447.0,15.2,19.300001,23.6,0.97,84.4,212.2,0.0,0.0,0.0,-17.175
31,1684521298060,5447.0,15.2,19.300001,23.6,0.97,84.4,212.2,0.0,0.0,0.0,-17.175
32,1684521298091,5457.0,15.0,19.1,22.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
33,1684521298123,5457.0,15.0,19.1,22.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
34,1684521298138,5457.0,15.0,19.1,22.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
35,1684521298179,5457.0,15.0,19.1,22.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
36,1684521298201,5420.0,15.1,19.2,22.800001,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
37,1684521298232,5420.0,15.1,19.2,22.800001,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
38,1684521298257,5420.0,15.1,19.2,22.800001,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
39,1684521298289,5420.0,15.1,19.2,22.800001,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
40,1684521298320,5426.0,15.400001,19.2,23.0,0.969,84.4,212.2,0.0,0.0,0.0,-17.175
41,1684521298351,5426.0,15.400001,19.2,23.0,0.969,84.4,212.2,0.0,0.0,0.0,-17.175
42,1684521298382,5426.0,15.400001,19.2,23.0,0.969,84.4,212.2,0.0,0.0,0.0,-17.175
43,1684521298414,5388.0,15.2,19.2,22.9,0.969,84.4,212.2,0.0,0.0,0.0,-17.175
44,1684521298430,5388.0,15.2,19.2,22.9,0.969,84.4,212.2,0.0,0.0,0.0,-17.175
45,1684521298461,5440.0,15.0,19.1,22.5,0.963,84.4,212.2,0.0,0.0,0.0,-17.175
46,1684521298492,5440.0,15.0,19.1,22.5,0.963,84.4,212.2,0.0,0.0,0.0,-17.175
47,1684521298524,5453.0,15.1,19.2,23.1,0.958,84.4,212.2,0.0,0.0,0.0,-17.175
48,1684521298555,5453.0,15.1,19.2,23.1,0.958,84.4,212.2,0.0,0.0,0.0,-17.175
49,1684521298586,5453.0,15.1,19.2,23.1,0.958,84.4,212.2,0.0,0.0,0.0,-17.175
50,1684521298618,5422.0,15.1,19.300001,23.4,0.971,84.4,212.2,0.0,0.0,0.0,-17.175
51,1684521298634,5422.0,15.1,19.2,23.1,0.971,84.4,212.2,0.0,0.0,0.0,-17.175
52,1684521298665,5422.0,15.1,19.2,23.1,0.971,84.4,212.2,0.0,0.0,0.0,-17.175
53,1684521298696,5422.0,15.1,19.2,23.1,0.971,84.4,212.2,0.0,0.0,0.0,-17.175
54,1684521298728,5432.0,15.0,19.2,23.0,0.96,84.4,212.2,0.0,0.0,0.0,-17.175
55,1684521298760,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
56,1684521298791,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
57,1684521298807,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
58,1684521298838,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
59,1684521298870,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
60,1684521298901,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
61,1684521298932,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
62,1684521298964,5453.0,15.0,19.2,22.5,0.959,84.4,212.2,0.0,0.0,0.0,-17.175
63,1684521304500,0.0,-17.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1684521304500,5430.0,15.3,19.300001,24.0,0.974,84.4,212.2,0.0,0.0,0.0,-17.175
65,1684521304500,5430.0,15.2,19.2,23.0,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
66,1684521304500,5430.0,15.2,19.2,23.0,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
67,1684521304500,5430.0,15.2,19.2,23.0,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
68,1684521304500,5430.0,15.2,19.2,23.0,0.968,84.4,212.2,0.0,0.0,0.0,-17.175
69,1684521304500,5453.0,15.3,19.2,23.6,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
70,1684521304500,5453.0,15.3,19.2,23.6,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
71,1684521304500,5453.0,15.3,19.2,23.6,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
72,1684521304500,5426.0,15.1,19.4,24.0,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
73,1684521304500,5426.0,15.1,19.4,24.0,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
74,1684521304500,5426.0,15.1,19.4,24.0,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
75,1684521304500,5426.0,15.1,19.4,24.0,0.976,84.4,212.2,0.0,0.0,0.0,-17.175
76,1684521304500,5376.0,15.1,19.300001,23.9,0.974,84.4,212.2,0.0,0.0,0.0,-17.175
77,1684521304500,5376.0,15.1,19.300001,23.9,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
78,1684521304500,5376.0,15.1,19.300001,23.9,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
79,1684521304500,5376.0,15.1,19.300001,23.9,0.981,84.4,212.2,0.0,0.0,0.0,-17.175
80,1684521304500,5432.0,15.1,19.300001,23.1,0.979,84.4,212.2,0.0,0.0,0.0,-17.175
81,1684521304500,5432.0,15.1,19.300001,23.1,0.979,84.4,212.2,0.0,0.0,0.0,-17.175
82,1684521304500,5432.0,15.1,19.300001,23.1,0.979,84.4,212.2,0.0,0.0,0.0,-17.175
83,1684521304500,5432.0,15.1,19.300001,23.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
84,1684521304500,5432.0,15.1,19.300001,23.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
85,1684521304500,5432.0,15.1,19.300001,23.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
86,1684521304500,5432.0,15.1,19.300001,23.1,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
87,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
88,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
89,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
90,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
91,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
92,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
93,1684521304500,5403.0,15.0,19.2,22.7,0.965,84.4,212.2,0.0,0.0,0.0,-17.175
94,1684521304500,5473.0,15.3,19.4,23.2,0.984,84.4,212.2,0.0,0.0,0.0,-17.175
95,1684521304500,5473.0,15.3,19.4,23.2,0.984,84.4,212.2,0.0,0.0,0.0,-17.175
96,1684521304500,5473.0,15.3,19.4,23.2,0.984,84.4,212.2,0.0,0.0,0.0,-17.175
97,1684521304500,5432.0,15.0,19.300001,23.4,0.973,84.4,212.2,0.0,0.0,0.0,-17.175
98,1684521304500,5432.0,15.0,19.300001,23.4,0.973,84.4,212.2,0.0,0.0,0.0,-17.175
99,1684521304500,5432.0,15.0,19.300001,23.4,0.973,84.4,212.2,0.0,0.0,0.0,-17.175
