Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684437611965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1684437611981,2243.0,12.2,29.7,10.0,0.637,98.8,179.8,0.0,0.0,0.0,7.8
2,1684437612012,2242.0,12.0,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
3,1684437612044,2242.0,12.0,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.387501
4,1684437612075,2214.0,11.8,29.300001,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.387501
5,1684437612101,2309.0,11.8,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
6,1684437612122,2309.0,11.8,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
7,1684437612150,2309.0,11.8,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
8,1684437612181,2309.0,11.8,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
9,1684437612212,2279.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
10,1684437612244,2279.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
11,1684437612275,2274.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
12,1684437612306,2274.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
13,1684437612322,2274.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
14,1684437612353,2268.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
15,1684437612385,2268.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
16,1684437612416,2268.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
17,1684437612448,2269.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
18,1684437612468,2269.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
19,1684437612499,2269.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
20,1684437612530,2269.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
21,1684437612562,2342.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
22,1684437612593,2342.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
23,1684437612624,2342.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
24,1684437612650,2334.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
25,1684437612672,2334.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
26,1684437612703,2334.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
27,1684437612734,2350.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
28,1684437612767,2350.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
29,1684437612789,2350.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
30,1684437612823,2350.0,12.2,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
31,1684437612855,2349.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
32,1684437612881,2349.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
33,1684437612903,2349.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
34,1684437612934,2260.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
35,1684437612965,2260.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
36,1684437612997,2260.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
37,1684437613028,2260.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
38,1684437613044,2329.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
39,1684437613075,2329.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
40,1684437613106,2329.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
41,1684437613138,2321.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
42,1684437613169,2321.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.8
43,1684437613200,2321.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
44,1684437613231,2321.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
45,1684437613247,2362.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
46,1684437613278,2362.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
47,1684437613310,2362.0,12.1,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
48,1684437613341,2425.0,12.1,29.6,10.2,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
49,1684437613364,2425.0,12.1,29.6,10.2,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
50,1684437613395,2425.0,12.1,29.6,10.2,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
51,1684437613427,2425.0,12.1,29.6,10.2,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
52,1684437613458,2383.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,8.400002
53,1684437613490,2383.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
54,1684437613521,2383.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
55,1684437613537,2383.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
56,1684437613568,2284.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
57,1684437613599,2376.0,12.1,29.6,10.2,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
58,1684437613630,2376.0,12.1,29.6,10.2,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
59,1684437613662,2402.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
60,1684437613682,2402.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
61,1684437613713,2402.0,12.1,29.4,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
62,1684437613744,2471.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,7.875001
63,1684437613776,2471.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,8.587502
64,1684437613807,2471.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,8.587502
65,1684437613838,2471.0,12.2,29.6,10.0,0.638,98.8,179.8,0.0,0.0,0.0,8.587502
