Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684440887130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1684440887130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1684440887162,8576.0,12.2,19.6,19.1,1.258,79.0,199.6,0.0,0.0,0.0,51.225002
3,1684440887193,8576.0,12.2,19.6,19.1,1.258,79.0,199.6,0.0,0.0,0.0,51.225002
4,1684440887224,8576.0,12.2,19.6,19.1,1.258,79.0,199.6,0.0,0.0,0.0,51.225002
5,1684440887240,8576.0,12.2,19.6,19.1,1.258,79.0,199.6,0.0,0.0,0.0,51.225002
6,1684440887272,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
7,1684440887303,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
8,1684440887339,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
9,1684440887366,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
10,1684440887397,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
11,1684440887414,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
12,1684440887445,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
13,1684440887476,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
14,1684440887507,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
15,1684440887540,8576.0,12.2,19.6,19.1,1.258,77.200005,199.6,0.0,0.0,0.0,51.225002
16,1684440887570,7893.0,12.2,20.4,15.7,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
17,1684440887601,7893.0,12.2,20.4,15.7,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
18,1684440887617,7893.0,12.2,20.4,15.7,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
19,1684440887659,7893.0,12.2,20.4,15.7,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
20,1684440887680,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
21,1684440887712,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
22,1684440887743,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
23,1684440887775,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
24,1684440887791,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
25,1684440887822,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
26,1684440887853,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
27,1684440887885,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
28,1684440887916,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
29,1684440887948,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
30,1684440887973,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
31,1684440888005,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
32,1684440888037,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
33,1684440888066,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
34,1684440888093,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
35,1684440888115,7570.0,12.2,20.1,14.8,1.278,77.200005,199.6,0.0,0.0,0.0,44.175003
