Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
0,1684439899620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1684439899635,1941.0,12.1,27.9,10.0,1.079,91.6,178.0,0.0,0.0,0.0,7.687501
2,1684439899666,2264.0,11.8,24.2,10.0,1.067,91.6,178.0,0.0,0.0,0.0,7.687501
3,1684439899698,2264.0,11.8,24.2,10.0,1.09,91.6,178.0,0.0,0.0,0.0,7.687501
4,1684439899729,2380.0,11.900001,23.9,10.0,1.09,91.6,178.0,0.0,0.0,0.0,7.687501
5,1684439899750,2351.0,11.8,23.7,10.0,0.984,91.6,178.0,0.0,0.0,0.0,10.387501
6,1684439899782,2068.0,11.7,24.1,10.0,0.994,91.6,178.0,0.0,0.0,0.0,10.387501
7,1684439899813,2068.0,11.7,24.1,10.0,0.998,91.6,178.0,0.0,0.0,0.0,8.2875
8,1684439899844,2207.0,11.900001,24.300001,10.0,1.0,91.6,178.0,0.0,0.0,0.0,8.2875
9,1684439899875,2207.0,11.900001,24.300001,10.0,1.0,91.6,178.0,0.0,0.0,0.0,8.2875
10,1684439899891,2237.0,11.900001,23.9,10.0,1.108,91.6,178.0,0.0,0.0,0.0,8.2875
11,1684439899922,2237.0,11.900001,23.9,10.0,1.108,91.6,178.0,0.0,0.0,0.0,10.012501
12,1684439899954,2179.0,12.1,24.0,10.0,1.053,91.6,178.0,0.0,0.0,0.0,10.012501
13,1684439899985,2179.0,12.1,24.0,10.0,1.026,91.6,178.0,0.0,0.0,0.0,10.012501
14,1684439900016,2179.0,12.1,24.0,10.0,1.026,91.6,178.0,0.0,0.0,0.0,10.012501
15,1684439900048,2179.0,12.1,24.0,10.0,1.026,91.6,178.0,0.0,0.0,0.0,10.012501
16,1684439900063,2106.0,12.1,24.6,10.0,1.01,91.6,178.0,0.0,0.0,0.0,10.012501
17,1684439900095,2106.0,12.1,24.6,10.0,1.01,91.6,178.0,0.0,0.0,0.0,10.012501
18,1684439900126,2106.0,12.1,24.6,10.0,1.01,91.6,178.0,0.0,0.0,0.0,10.012501
19,1684439900157,2106.0,12.1,24.6,10.0,1.005,91.6,178.0,0.0,0.0,0.0,10.012501
20,1684439900188,2056.0,12.1,24.9,10.0,1.005,91.6,178.0,0.0,0.0,0.0,10.012501
21,1684439900220,2056.0,12.1,24.9,10.0,1.005,91.6,178.0,0.0,0.0,0.0,8.587502
22,1684439900251,2056.0,12.1,24.9,10.0,1.005,91.6,178.0,0.0,0.0,0.0,8.587502
23,1684439900277,2017.0,12.1,25.5,10.0,1.028,91.6,178.0,0.0,0.0,0.0,8.587502
24,1684439900298,2017.0,12.1,25.5,10.0,1.028,91.6,178.0,0.0,0.0,0.0,8.587502
25,1684439900330,1965.0,12.1,25.6,10.0,1.028,91.6,178.0,0.0,0.0,0.0,8.587502
26,1684439900356,1965.0,12.1,25.6,10.0,1.076,91.6,178.0,0.0,0.0,0.0,8.587502
27,1684439900387,1973.0,12.1,26.0,10.0,1.076,91.6,178.0,0.0,0.0,0.0,8.587502
28,1684439900419,1973.0,12.1,26.0,10.0,1.076,91.6,178.0,0.0,0.0,0.0,8.587502
29,1684439900451,1973.0,12.1,26.0,10.0,1.114,91.6,178.0,0.0,0.0,0.0,8.587502
30,1684439900483,1973.0,12.1,26.0,10.0,1.114,91.6,178.0,0.0,0.0,0.0,8.587502
31,1684439900507,1953.0,12.1,26.4,10.0,1.114,91.6,178.0,0.0,0.0,0.0,7.875001
32,1684439900538,1953.0,12.1,26.4,10.0,1.114,91.6,178.0,0.0,0.0,0.0,7.875001
33,1684439900570,1953.0,12.1,26.4,10.0,1.109,91.6,178.0,0.0,0.0,0.0,7.875001
34,1684439900595,1921.0,12.1,26.2,10.0,1.109,91.6,178.0,0.0,0.0,0.0,7.875001
35,1684439900617,1921.0,12.1,26.2,10.0,1.109,91.6,178.0,0.0,0.0,0.0,7.875001
36,1684439900645,1921.0,12.1,26.2,10.0,1.101,91.6,178.0,0.0,0.0,0.0,7.875001
37,1684439900676,2238.0,12.0,25.4,10.0,1.101,91.6,178.0,0.0,0.0,0.0,7.875001
38,1684439900707,2238.0,12.0,25.4,10.0,1.101,91.6,178.0,0.0,0.0,0.0,9.600001
39,1684439900738,2238.0,12.0,25.4,10.0,1.15,91.6,178.0,0.0,0.0,0.0,9.600001
40,1684439900770,2177.0,12.1,24.4,10.0,1.15,91.6,178.0,0.0,0.0,0.0,9.600001
41,1684439900801,2177.0,12.1,24.4,10.0,1.168,91.6,178.0,0.0,0.0,0.0,9.600001
42,1684439900817,2177.0,12.1,24.4,10.0,1.168,91.6,178.0,0.0,0.0,0.0,9.600001
43,1684439900848,2177.0,12.1,24.4,10.0,1.096,91.6,178.0,0.0,0.0,0.0,9.600001
44,1684439900879,2084.0,12.1,24.9,10.0,1.096,91.6,178.0,0.0,0.0,0.0,9.600001
45,1684439900911,2084.0,12.1,24.9,10.0,1.096,91.6,178.0,0.0,0.0,0.0,9.600001
46,1684439900942,2084.0,12.1,24.9,10.0,1.05,91.6,178.0,0.0,0.0,0.0,9.600001
47,1684439900963,2125.0,12.1,25.4,10.0,1.05,91.6,178.0,0.0,0.0,0.0,9.600001
48,1684439900994,2125.0,12.1,25.4,10.0,1.05,91.6,178.0,0.0,0.0,0.0,9.600001
49,1684439901025,2125.0,12.1,25.4,10.0,1.05,91.6,178.0,0.0,0.0,0.0,9.675
